seller_city,total_sales_city,average_sales_per_seller,seller_count
sao paulo,2628634.52,3976.7541906202723,661
ibitinga,614836.09,12547.675306122448,49
curitiba,458812.03,3700.0970161290325,124
rio de janeiro,342341.64,3721.1047826086956,92
guarulhos,318217.59,6629.533125000001,48
ribeirao preto,267478.85000000003,5349.577000000001,50
itaquaquecetuba,228460.34,28557.5425,8
guariba,226987.93,226987.93,1
santo andre,223280.71,5074.561590909091,44
lauro de freitas,220689.44,110344.72,2
piracicaba,211470.86,21147.086,10
maringa,205502.23,5137.55575,40
belo horizonte,199082.38999999998,3062.8059999999996,65
sumare,192611.21999999997,38522.24399999999,5
sao jose do rio preto,191969.91,6398.997,30
barueri,185227.59999999998,14248.27692307692,13
sao bernardo do campo,176241.38,6294.335,28
campinas,173118.42,4327.9605,40
teresopolis,130202.44,65101.22,2
salto,124953.55,13883.727777777778,9
petropolis,115287.9,23057.579999999998,5
santa barbara d´oeste,111471.51,55735.755,2
limeira,111349.78,6549.987058823529,17
porto alegre,103156.41,3820.6077777777778,27
londrina,99878.54,3995.1416,25
campo limpo paulista,99866.0,49933.0,2
ilicinea,99309.23,99309.23,1
cascavel,99007.78,7615.983076923077,13
osasco,95847.79,3305.0962068965514,29
jacarei,89990.62,12855.802857142857,7
sao jose dos campos,86156.15,4786.452777777778,18
praia grande,85478.02,8547.802,10
joinville,85184.45,4056.402380952381,21
recife,85076.2,17015.239999999998,5
brasilia,84885.83,3031.636785714286,28
franca,84801.31999999999,4240.066,20
videira,76180.4,38090.2,2
itatiba,66591.17,16647.7925,4
caxias do sul,63566.94,3531.496666666667,18
nova friburgo,62579.26,12515.852,5
diadema,62217.6,6913.066666666667,9
bombinhas,58991.8,58991.8,1
mogi guacu,57855.299999999996,7231.912499999999,8
araraquara,56443.32,5131.210909090909,11
riberao preto,54440.28,54440.28,1
sao caetano do sul,54405.65,2720.2825000000003,20
itauna,54353.78,27176.89,2
sorocaba,52557.48,1642.42125,32
lages,52394.84,26197.42,2
penapolis,47943.600000000006,9588.720000000001,5
uberlandia,47143.31,3928.6091666666666,12
jau,46819.89,11704.9725,4
brusque,46688.93,4668.893,10
pradopolis,46598.689999999995,23299.344999999998,2
mogi das cruzes,45407.52,3027.1679999999997,15
presidente prudente,42945.91,3578.825833333334,12
blumenau,42569.55,2128.4775,20
araguari,42530.9,14176.966666666667,3
santos,42453.340000000004,2653.3337500000002,16
pedreira,41871.57,5233.94625,8
atibaia,40286.03,3662.3663636363635,11
borda da mata,39260.18,9815.045,4
uba,38353.979999999996,6392.329999999999,6
umuarama,37217.38,9304.345,4
sao goncalo,36855.41,6142.568333333334,6
goiania,36850.92,1675.0418181818181,22
hortolandia,36588.15,18294.075,2
sao luis,36097.979999999996,36097.979999999996,1
braganca paulista,36062.12,7212.424000000001,5
formiga,34735.78,8683.945,4
guara,34666.9,34666.9,1
marilia,32802.39,2186.826,15
novo hamburgo,31817.920000000002,7954.4800000000005,4
indaiatuba,31574.24,3946.78,8
itajai,31466.89,3496.321111111111,9
cotia,30515.65,3814.45625,8
monte siao,28979.64,28979.64,1
maua,28452.66,2188.666153846154,13
jundiai,28374.49,2026.7492857142859,14
rolandia,27961.02,9320.34,3
colombo,27915.0,4652.5,6
montenegro,26961.9,13480.95,2
divinopolis,26766.3,3345.7875,8
betim,26546.670000000002,5309.334000000001,5
assis,26178.23,3272.27875,8
sarandi,25988.55,8662.85,3
macae,25685.399999999998,8561.8,3
niteroi,25596.68,3199.585,8
baependi,25468.69,12734.345,2
serra negra,25369.8,8456.6,3
vicosa,25277.8,12638.9,2
cajamar,25211.09,12605.545,2
florianopolis,25015.170000000002,1471.4805882352941,17
cariacica,24607.03,12303.515,2
garca,22979.629999999997,5744.907499999999,4
tres coracoes,22713.440000000002,7571.146666666667,3
navegantes,22710.05,7570.016666666666,3
foz do iguacu,22584.36,4516.872,5
pinhais,22512.13,2814.01625,8
jaragua do sul,22180.56,2464.5066666666667,9
